LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG,SCH_MATHCERT_ALG,NCESSCH,Total_Alg1_enroll_students,Total_Alg1_pass_students
AL,ALABAMA,0101530,Florence City,00528,Florence High School,10153000528,4,4,010153000528,17,11
AL,ALABAMA,0101530,Florence City,00531,Florence Freshman Center,10153000531,14,14,010153000531,217,209
AL,ALABAMA,0101560,Fort Payne City,00538,Fort Payne High School,10156000538,10,10,010156000538,213,16
AL,ALABAMA,0101590,Franklin County,00541,Belgreen High School,10159000541,1,1,010159000541,22,22
AL,ALABAMA,0101590,Franklin County,00542,East Franklin Junior High School,10159000542,1,1,010159000542,22,21
AL,ALABAMA,0101590,Franklin County,00544,Phil Campbell High School,10159000544,3,3,010159000544,102,102
AL,ALABAMA,0101590,Franklin County,00545,Red Bay High School,10159000545,2,2,010159000545,57,57
AL,ALABAMA,0101590,Franklin County,00548,Vina High School,10159000548,3,3,010159000548,34,34
AL,ALABAMA,0101590,Franklin County,01869,Tharptown High School,10159001869,5,5,010159001869,137,130
AL,ALABAMA,0101620,Gadsden City,01824,Gadsden City High School,10162001824,20,20,010162001824,367,338
AL,ALABAMA,0101640,Geneva City,00567,Geneva High School,10164000567,3,3,010164000567,42,29
AL,ALABAMA,0101660,Geneva County,00570,Geneva County High School,10166000570,3,3,010166000570,42,40
AL,ALABAMA,0101660,Geneva County,00571,Samson High School,10166000571,3,3,010166000571,38,30
AL,ALABAMA,0101660,Geneva County,01519,Slocomb High School,10166001519,4,4,010166001519,99,94
AL,ALABAMA,0101680,Greene County,00576,Greene County High School,10168000576,2,2,010168000576,48,48
AL,ALABAMA,0101690,Guntersville City,00582,Guntersville High School,10169000582,6,6,010169000582,115,115
AL,ALABAMA,0101710,Hale County,00588,Hale County High School,10171000588,2,2,010171000588,39,37
AL,ALABAMA,0101710,Hale County,02162,Greensboro High School,10171002162,4,0,010171002162,96,94
AL,ALABAMA,0101720,Haleyville City,00594,Haleyville High School,10172000594,6,6,010172000594,122,118
AL,ALABAMA,0101730,Hartselle City,00599,Hartselle High School,10173000599,8,8,010173000599,157,104
AL,ALABAMA,0101740,Henry County,00600,Abbeville High School,10174000600,3,3,010174000600,58,58
AL,ALABAMA,0101740,Henry County,00604,Headland High School,10174000604,3,3,010174000604,74,74
AL,ALABAMA,0101740,Henry County,00605,Headland Middle School,10174000605,2,2,010174000605,79,79
AL,ALABAMA,0101740,Henry County,99999,Camp Sayla,10174099999,17,0,010174099999,17,1
AL,ALABAMA,0101760,Homewood City,00608,Homewood High School,10176000608,4,4,010176000608,55,50
AL,ALABAMA,0101770,Houston County,00611,Ashford High School,10177000611,5,5,010177000611,109,106
AL,ALABAMA,0101770,Houston County,00612,Cottonwood High School,10177000612,3,3,010177000612,53,41
AL,ALABAMA,0101770,Houston County,00614,Houston County High School,10177000614,5,5,010177000614,59,59
AL,ALABAMA,0101770,Houston County,00615,Rehobeth High School,10177000615,5,5,010177000615,100,89
AL,ALABAMA,0101770,Houston County,00617,Wicksburg High School,10177000617,4,4,010177000617,60,51
AL,ALABAMA,0101800,Huntsville City,00629,Virgil Grissom High School,10180000629,23,23,010180000629,380,304
AL,ALABAMA,0101800,Huntsville City,00631,Huntsville High School,10180000631,16,16,010180000631,305,229
AL,ALABAMA,0101800,Huntsville City,00636,Lee High School,10180000636,24,24,010180000636,152,107
AL,ALABAMA,0101800,Huntsville City,01374,New Century Technology High School,10180001374,5,5,010180001374,30,29
AL,ALABAMA,0101800,Huntsville City,01651,Columbia High School,10180001651,15,15,010180001651,248,212
AL,ALABAMA,0101800,Huntsville City,02419,Jemison High School,10180002419,16,16,010180002419,147,115
AL,ALABAMA,0101830,Jackson County,00662,North Sand Mountain School,10183000662,5,5,010183000662,58,58
AL,ALABAMA,0101830,Jackson County,00663,Paint Rock Valley High School,10183000663,1,1,010183000663,5,5
AL,ALABAMA,0101830,Jackson County,00667,Section High School,10183000667,3,3,010183000667,66,66
AL,ALABAMA,0101830,Jackson County,00668,Skyline High School,10183000668,4,4,010183000668,53,53
AL,ALABAMA,0101830,Jackson County,00671,Woodville High School,10183000671,2,2,010183000671,32,32
AL,ALABAMA,0101830,Jackson County,01532,Pisgah High School,10183001532,2,2,010183001532,44,44
AL,ALABAMA,0101830,Jackson County,01751,North Jackson High School,10183001751,122,122,010183001751,122,118
AL,ALABAMA,0101860,Jacksonville City,00673,Jacksonville High School,10186000673,6,6,010186000673,90,90
AL,ALABAMA,0101890,Jasper City Board Of Education,00678,Jasper High School,10189000678,10,10,010189000678,201,187
AL,ALABAMA,0101920,Jefferson County,00469,ClayChalkville High School,10192000469,15,15,010192000469,263,233
AL,ALABAMA,0101920,Jefferson County,00698,Corner High School,10192000698,8,8,010192000698,131,131
AL,ALABAMA,0101920,Jefferson County,00702,Center Point High School,10192000702,15,15,010192000702,281,274
AL,ALABAMA,0101920,Jefferson County,00704,Fultondale High School,10192000704,12,12,010192000704,43,41
AL,ALABAMA,0101920,Jefferson County,00706,Gardendale High School,10192000706,6,6,010192000706,180,167
AL,ALABAMA,0101920,Jefferson County,00717,Hueytown High School,10192000717,7,7,010192000717,240,240
AL,ALABAMA,0101920,Jefferson County,00725,McAdory High School,10192000725,9,9,010192000725,160,155
AL,ALABAMA,0101920,Jefferson County,00728,Mortimer Jordan High School,10192000728,9,9,010192000728,223,215
AL,ALABAMA,0101920,Jefferson County,00732,Oak Grove High School,10192000732,15,15,010192000732,193,191
AL,ALABAMA,0101920,Jefferson County,00734,Pinson Valley High School,10192000734,11,11,010192000734,235,231
AL,ALABAMA,0101920,Jefferson County,00737,Pleasant Grove High School,10192000737,14,14,010192000737,98,53
AL,ALABAMA,0101920,Jefferson County,00744,Shades Valley High School,10192000744,11,11,010192000744,451,423
