LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,Total_Geomty_enroll_students
AZ,ARIZONA,0403450,Glendale Union High School District,00282,Thunderbird High School,040345000282,040345000282,14,14,340
AZ,ARIZONA,0403450,Glendale Union High School District,00283,Washington High School,040345000283,040345000283,20,20,435
AZ,ARIZONA,0403450,Glendale Union High School District,00284,Independence High School,040345000284,040345000284,21,21,494
AZ,ARIZONA,0403450,Glendale Union High School District,01574,Glendale Union High School District Online Learning Academy,040345001574,040345001574,3,3,3
AZ,ARIZONA,0403450,Glendale Union High School District,03510,Glendale Union Online,040345003510,040345003510,2,2,4
AZ,ARIZONA,0403500,Globe Unified District,00287,Globe High School,040350000287,040350000287,11,11,93
AZ,ARIZONA,0403550,Grand Canyon Unified District,00291,Grand Canyon High School,040355000291,040355000291,1,4,19
AZ,ARIZONA,0403730,Hayden-Winkelman Unified District,00293,Hayden High School,040373000293,040373000293,1,1,23
AZ,ARIZONA,0403780,Higley Unified School District,02119,Higley High School,040378002119,040378002119,13,13,399
AZ,ARIZONA,0403780,Higley Unified School District,02835,Williams Field High School,040378002835,040378002835,18,18,454
AZ,ARIZONA,0403820,Holbrook Unified District,00298,Holbrook High School,040382000298,040382000298,3,11,163
AZ,ARIZONA,0403860,Maricopa County Regional District,00068,Durango Transitional Learning Center,040386000068,040386000068,1,1,1
AZ,ARIZONA,0403860,Maricopa County Regional District,00079,Mesa Transitional Learning Center,040386000079,040386000079,2,2,2
AZ,ARIZONA,0403860,Maricopa County Regional District,02365,Continued Hope High Schools,040386002365,040386002365,1,2,2
AZ,ARIZONA,0403860,Maricopa County Regional District,03535,Hope College and Career Readiness Academy,040386003535,040386003535,2,2,23
AZ,ARIZONA,0403870,Humboldt Unified District,00306,Bradshaw Mountain High School,040387000306,040387000306,9,9,297
AZ,ARIZONA,0403950,Baboquivari Unified School District #40,00310,Baboquivari High School,040395000310,040395000310,2,2,32
AZ,ARIZONA,0403990,J O Combs Unified School District,02895,Combs High School,040399002895,040399002895,10,11,334
AZ,ARIZONA,0404010,Joseph City Unified District,00322,Joseph City High School,040401000322,040401000322,1,1,29
AZ,ARIZONA,0404060,Kayenta Unified School District #27,00324,Monument Valley High School,040406000324,040406000324,2,8,198
