LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_APENR_IND,SCH_APCOURSES,SCH_APMATHENR_IND,Total_AP_math_students,Total_students_tookAP,SCH_APENR_IND_new,SCH_APMATHENR_IND_new
PA,PENNSYLVANIA,4203480,Berwick Area SD,01605,Berwick Area HS,420348001605,420348001605,Yes,15,Yes,47,53,1,1
PA,PENNSYLVANIA,4203510,Bethel Park SD,00062,Bethel Park HS,420351000062,420351000062,Yes,17,Yes,85,88,1,1
PA,PENNSYLVANIA,4203570,Bethlehem Area SD,03465,Liberty HS,420357003465,420357003465,Yes,21,Yes,167,254,1,1
PA,PENNSYLVANIA,4203570,Bethlehem Area SD,04957,Freedom HS,420357004957,420357004957,Yes,17,Yes,100,192,1,1
PA,PENNSYLVANIA,4203600,Bethlehem-Center SD,04181,Bethlehem-Center SHS,420360004181,420360004181,Yes,3,No,0,37,1,0
PA,PENNSYLVANIA,4203630,Big Beaver Falls Area SD,00649,Beaver Falls Area SHS,420363000649,420363000649,Yes,6,Yes,10,10,1,1
PA,PENNSYLVANIA,4203660,Big Spring SD,01677,Big Spring HS,420366001677,420366001677,Yes,14,Yes,38,141,1,1
PA,PENNSYLVANIA,4203688,Blackhawk SD,06707,Blackhawk HS,420368806707,420368806707,Yes,17,Yes,56,72,1,1
PA,PENNSYLVANIA,4203690,Blacklick Valley SD,05135,Blacklick Valley JSHS,420369005135,420369005135,Yes,2,No,0,0,1,0
PA,PENNSYLVANIA,4203750,Blairsville-Saltsburg SD,02353,Saltsburg MS/HS,420375002353,420375002353,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4203750,Blairsville-Saltsburg SD,04706,Blairsville SHS,420375004706,420375004706,Yes,2,No,0,11,1,0
PA,PENNSYLVANIA,4203840,Bloomsburg Area SD,01612,Bloomsburg Area HS,420384001612,420384001612,Yes,5,Yes,3,28,1,1
PA,PENNSYLVANIA,4203870,Blue Mountain SD,03891,Blue Mountain HS,420387003891,420387003891,Yes,16,Yes,50,106,1,1
PA,PENNSYLVANIA,4203900,Blue Ridge SD,04034,Blue Ridge HS,420390004034,420390004034,Yes,10,Yes,29,59,1,1
PA,PENNSYLVANIA,4203960,Boyertown Area SD,06306,Boyertown Area SHS,420396006306,420396006306,Yes,17,No,0,296,1,0
PA,PENNSYLVANIA,4204020,Bradford Area SD,04691,Bradford Area HS,420402004691,420402004691,Yes,8,No,0,93,1,0
PA,PENNSYLVANIA,4204050,Brandywine Heights Area SD,06308,Brandywine Heights HS,420405006308,420405006308,Yes,9,Yes,34,98,1,1
PA,PENNSYLVANIA,4204080,Brownsville Area SD,04818,Brownsville Area HS,420408004818,420408004818,Yes,5,Yes,17,38,1,1
PA,PENNSYLVANIA,4204140,Brentwood Borough SD,00070,Brentwood SHS,420414000070,420414000070,Yes,12,Yes,62,41,1,1
PA,PENNSYLVANIA,4204200,Bristol Borough SD,01014,Bristol HS,420420001014,420420001014,Yes,4,Yes,10,27,1,1
PA,PENNSYLVANIA,4204230,Bristol Township SD,01029,Truman SHS,420423001029,420423001029,Yes,10,Yes,21,97,1,1
PA,PENNSYLVANIA,4204260,Brockway Area SD,02362,Brockway Area JSHS,420426002362,420426002362,Yes,8,Yes,31,46,1,1
PA,PENNSYLVANIA,4204320,Brookville Area SD,06162,Brookville JSHS,420432006162,420432006162,Yes,7,Yes,13,31,1,1
PA,PENNSYLVANIA,4204500,Burgettstown Area SD,04195,Burgettstown MS/HS,420450004195,420450004195,Yes,7,Yes,20,35,1,1
PA,PENNSYLVANIA,4204530,Burrell SD,04340,Burrell HS,420453004340,420453004340,Yes,11,Yes,20,118,1,1
PA,PENNSYLVANIA,4204590,Butler Area SD,06690,Butler Area IHS,420459006690,420459006690,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4204590,Butler Area SD,07139,Center Avenue Sch,420459007139,420459007139,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4204590,Butler Area SD,07554,Butler Area SHS,420459007554,420459007554,Yes,16,Yes,214,174,1,1
PA,PENNSYLVANIA,4204710,California Area SD,04203,California Area SHS,420471004203,420471004203,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4204740,Cambria Heights SD,05212,Cambria Heights SHS,420474005212,420474005212,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4204830,Cameron County SD,01299,Cameron County JSHS,420483001299,420483001299,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4204860,Camp Hill SD,01682,Camp Hill SHS,420486001682,420486001682,Yes,10,Yes,53,53,1,1
PA,PENNSYLVANIA,4204890,Canon-McMillan SD,04217,Canon-McMillan SHS,420489004217,420489004217,Yes,17,Yes,55,180,1,1
PA,PENNSYLVANIA,4204920,Canton Area SD,00988,Canton JSHS,420492000988,420492000988,Yes,2,No,0,8,1,0
PA,PENNSYLVANIA,4204980,Carbondale Area SD,02420,Carbondale Area JSHS,420498002420,420498002420,Yes,4,Yes,17,1,1,1
PA,PENNSYLVANIA,4205010,Carlisle Area SD,01694,Carlisle Area HS,420501001694,420501001694,Yes,19,Yes,111,219,1,1
PA,PENNSYLVANIA,4205040,Carlynton SD,00079,Carlynton JSHS,420504000079,420504000079,Yes,6,Yes,16,46,1,1
PA,PENNSYLVANIA,4205070,Carmichaels Area SD,07126,Carmichaels Area HS,420507007126,420507007126,Yes,3,No,0,9,1,0
PA,PENNSYLVANIA,4205160,Catasauqua Area SD,02798,Catasauqua SHS,420516002798,420516002798,Yes,4,No,0,5,1,0
PA,PENNSYLVANIA,4205190,Centennial SD,01040,William Tennent HS,420519001040,420519001040,Yes,19,Yes,37,233,1,1
PA,PENNSYLVANIA,4205310,Central Bucks SD,00643,Tohickon MS,420531000643,420531000643,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205310,Central Bucks SD,00785,Central Bucks HS-South,420531000785,420531000785,Yes,22,Yes,215,425,1,1
PA,PENNSYLVANIA,4205310,Central Bucks SD,01041,Lenape MS,420531001041,420531001041,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205310,Central Bucks SD,01042,Tamanend MS,420531001042,420531001042,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205310,Central Bucks SD,01043,Central Bucks HS-West,420531001043,420531001043,Yes,22,Yes,251,504,1,1
PA,PENNSYLVANIA,4205310,Central Bucks SD,04678,Unami MS,420531004678,420531004678,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205310,Central Bucks SD,05133,Central Bucks HS-East,420531005133,420531005133,Yes,22,Yes,210,486,1,1
PA,PENNSYLVANIA,4205310,Central Bucks SD,05307,Holicong MS,420531005307,420531005307,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205340,Central Cambria SD,01208,Central Cambria HS,420534001208,420534001208,Yes,5,No,0,0,1,0
PA,PENNSYLVANIA,4205370,Central Columbia SD,01619,Central Columbia SHS,420537001619,420537001619,Yes,10,Yes,93,147,1,1
PA,PENNSYLVANIA,4205400,Central Dauphin SD,01745,Central Dauphin SHS,420540001745,420540001745,Yes,18,Yes,107,292,1,1
PA,PENNSYLVANIA,4205400,Central Dauphin SD,01746,Central Dauphin East SHS,420540001746,420540001746,Yes,16,Yes,43,154,1,1
PA,PENNSYLVANIA,4205400,Central Dauphin SD,99998,Schaffner Youth Center,420540099998,420540099998,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205430,Central Greene SD,05118,Waynesburg Central HS,420543005118,420543005118,Yes,7,Yes,11,66,1,1
PA,PENNSYLVANIA,4205460,Crestwood SD,02860,Crestwood HS,420546002860,420546002860,Yes,6,Yes,40,72,1,1
PA,PENNSYLVANIA,4205490,Central York SD,04545,Central York HS,420549004545,420549004545,Yes,15,Yes,132,199,1,1
PA,PENNSYLVANIA,4205550,Chambersburg Area SD,02191,Chambersburg Area SHS,420555002191,420555002191,Yes,17,Yes,10,324,1,1
PA,PENNSYLVANIA,4205550,Chambersburg Area SD,07449,Chambersburg Area Career Magnet Sch,420555007449,420555007449,Yes,14,Yes,12,74,1,1
PA,PENNSYLVANIA,4205640,Charleroi SD,04715,Charleroi Area HS,420564004715,420564004715,Yes,4,No,0,14,1,0
PA,PENNSYLVANIA,4205700,Chartiers Valley SD,06706,Chartiers Valley HS,420570006706,420570006706,Yes,22,Yes,92,362,1,1
PA,PENNSYLVANIA,4205730,Chartiers-Houston SD,09975,Chartiers-Houston JSHS,420573009975,420573009975,Yes,8,Yes,40,81,1,1
PA,PENNSYLVANIA,4205760,Cheltenham SD,03260,Cheltenham HS,420576003260,420576003260,Yes,26,Yes,143,359,1,1
PA,PENNSYLVANIA,4205860,Chester-Upland SD,06492,Chester HS,420586006492,420586006492,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4205860,Chester-Upland SD,07499,STEM at Showalter,420586007499,420586007499,Yes,1,No,0,10,1,0
PA,PENNSYLVANIA,4205880,Chestnut Ridge SD,00732,Chestnut Ridge SHS,420588000732,420588000732,Yes,2,Yes,20,16,1,1
PA,PENNSYLVANIA,4205910,Chichester SD,01849,Chichester SHS,420591001849,420591001849,Yes,12,Yes,16,65,1,1
PA,PENNSYLVANIA,4206030,Clairton City SD,07346,Clairton MS/HS,420603007346,420603007346,Yes,4,Yes,4,11,1,1
PA,PENNSYLVANIA,4206060,Clarion Area SD,01475,Clarion Area JSHS,420606001475,420606001475,Yes,15,Yes,21,29,1,1
PA,PENNSYLVANIA,4206090,Clarion-Limestone Area SD,01480,Clarion-Limestone Area JSHS,420609001480,420609001480,Yes,6,No,0,21,1,0
PA,PENNSYLVANIA,4206120,Claysburg-Kimmel SD,00921,Claysburg-Kimmel HS,420612000921,420612000921,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206150,Clearfield Area SD,06236,Clearfield Area JSHS,420615006236,420615006236,Yes,7,Yes,81,1,1,1
PA,PENNSYLVANIA,4206240,Coatesville Area SD,05012,Coatesville Area SHS,420624005012,420624005012,Yes,17,Yes,107,154,1,1
PA,PENNSYLVANIA,4206240,Coatesville Area SD,07628,Coatesville Intermediate HS,420624007628,420624007628,Yes,7,No,0,80,1,0
PA,PENNSYLVANIA,4206240,Coatesville Area SD,07630,Coatesville Area SD Cyber Academy,420624007630,420624007630,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206270,Cocalico SD,06290,Cocalico SHS,420627006290,420627006290,Yes,11,Yes,46,116,1,1
PA,PENNSYLVANIA,4206360,Columbia Borough SD,02515,Columbia HS,420636002515,420636002515,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206365,Columbia-Montour AVTS,05178,Columbia-Montour AVTS,420636505178,420636505178,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206390,Commodore Perry SD,06122,Commodore Perry JSHS,420639006122,420639006122,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206420,Conemaugh Township Area SD,03978,Conemaugh Twp Area MS/SHS,420642003978,420642003978,Yes,1,Yes,15,9,1,1
PA,PENNSYLVANIA,4206430,Conemaugh Valley SD,05136,Conemaugh Valley JSHS,420643005136,420643005136,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206480,Conestoga Valley SD,02532,Conestoga Valley SHS,420648002532,420648002532,Yes,15,Yes,45,180,1,1
PA,PENNSYLVANIA,4206550,Conewago Valley SD,00017,New Oxford SHS,420655000017,420655000017,Yes,8,Yes,43,128,1,1
PA,PENNSYLVANIA,4206590,Conneaut SD,07439,Conneaut Area Senior High,420659007439,420659007439,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206660,Connellsville Area SD,05228,Connellsville Area SHS,420666005228,420666005228,Yes,10,Yes,53,78,1,1
PA,PENNSYLVANIA,4206780,Conrad Weiser Area SD,00777,Conrad Weiser HS,420678000777,420678000777,Yes,13,Yes,15,61,1,1
PA,PENNSYLVANIA,4206810,Cornell SD,07335,Cornell HS,420681007335,420681007335,Yes,2,No,0,11,1,0
PA,PENNSYLVANIA,4206840,Cornwall-Lebanon SD,04800,Cedar Crest HS,420684004800,420684004800,Yes,17,Yes,54,242,1,1
PA,PENNSYLVANIA,4206860,Corry Area SD,01998,Corry Area HS,420686001998,420686001998,Yes,5,Yes,30,64,1,1
PA,PENNSYLVANIA,4206930,Coudersport Area SD,03869,Coudersport Area JSHS,420693003869,420693003869,No,0,-9,0,0,0,0
PA,PENNSYLVANIA,4206960,Council Rock SD,00691,Council Rock HS South,420696000691,420696000691,Yes,21,Yes,178,389,1,1
PA,PENNSYLVANIA,4206960,Council Rock SD,05096,Council Rock HS North,420696005096,420696005096,Yes,21,Yes,115,351,1,1
PA,PENNSYLVANIA,4207050,Cranberry Area SD,04098,Cranberry Area JSHS,420705004098,420705004098,Yes,3,Yes,6,10,1,1
PA,PENNSYLVANIA,4207080,Crawford Central SD,01632,Cochranton JSHS,420708001632,420708001632,Yes,8,No,0,30,1,0
PA,PENNSYLVANIA,4207080,Crawford Central SD,01654,Meadville Area SHS,420708001654,420708001654,Yes,10,Yes,4,69,1,1
PA,PENNSYLVANIA,4207110,Cumberland Valley SD,01701,Cumberland Valley HS,420711001701,420711001701,Yes,31,Yes,212,560,1,1
PA,PENNSYLVANIA,4207140,Curwensville Area SD,01529,Curwensville Area JSHS,420714001529,420714001529,Yes,3,Yes,5,1,1,1
PA,PENNSYLVANIA,4207200,Dallas SD,02869,Dallas SHS,420720002869,420720002869,Yes,8,Yes,30,150,1,1
PA,PENNSYLVANIA,4207230,Dallastown Area SD,04553,Dallastown Area SHS,420723004553,420723004553,Yes,22,Yes,115,276,1,1
PA,PENNSYLVANIA,4207290,Daniel Boone Area SD,04810,Daniel Boone Area HS,420729004810,420729004810,Yes,16,Yes,52,299,1,1
PA,PENNSYLVANIA,4207320,Danville Area SD,03425,Danville Area SHS,420732003425,420732003425,Yes,19,Yes,78,140,1,1
PA,PENNSYLVANIA,4207385,Dauphin County Technical School,05278,Dauphin County Technical School,420738505278,420738505278,Yes,7,Yes,5,21,1,1
PA,PENNSYLVANIA,4207530,Delaware Valley SD,05261,Delaware Valley HS,420753005261,420753005261,Yes,32,Yes,110,460,1,1
PA,PENNSYLVANIA,4207540,Deer Lakes SD,00513,Deer Lakes HS,420754000513,420754000513,Yes,16,Yes,52,77,1,1
PA,PENNSYLVANIA,4207560,Derry Area SD,04352,Derry Area SHS,420756004352,420756004352,Yes,8,Yes,48,5,1,1
PA,PENNSYLVANIA,4207590,Derry Township SD,04801,Hershey HS,420759004801,420759004801,Yes,21,Yes,211,298,1,1
