LEA_STATE_x,LEA_STATE_NAME_x,LEAID_x,LEA_NAME_x,SCHID_x,SCH_NAME_x,COMBOKEY_x,Special_ed_schl_new,Magnet_schl_new,Charter_Schl_new,Alternate_schl_new,NCESSCH,LEVEL,Total_enroll_students,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,FTE_teachers_count,SalaryforTeachers,Total_SAT_ACT_students,SCH_IBENR_IND_new,Total_IB_students,SCH_APENR_IND_new,SCH_APCOURSES,SCH_APOTHENR_IND_new,Total_AP_other_students,Total_students_tookAP
AL,ALABAMA,0101020,Cullman County,00374,Cold Springs High School,010102000374,0,0,0,0,010102000374,High,294.0,19.17,9.17,10.0,19.0,879187.21,139.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101020,Cullman County,00377,Fairview High School,010102000377,0,0,0,0,010102000377,High,504.0,30.0,0.0,30.0,28.0,1525494.95,248.0,0.0,-18.0,1.0,11.0,0.0,-18.0,56.0
AL,ALABAMA,0101020,Cullman County,00380,Hanceville High School,010102000380,0,0,0,0,010102000380,High,393.0,18.9,0.0,18.9,18.9,1092237.31,182.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101020,Cullman County,00381,Holly Pond High School,010102000381,0,0,0,0,010102000381,High,341.0,24.0,0.0,24.0,24.0,1058994.49,175.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101020,Cullman County,00385,Vinemont High School,010102000385,0,0,0,0,010102000385,High,329.0,22.5,0.0,22.5,22.0,993318.02,145.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101020,Cullman County,00387,West Point High School,010102000387,0,0,0,0,010102000387,High,575.0,33.25,0.0,33.25,33.25,1611041.0,276.0,0.0,-18.0,1.0,8.0,0.0,-18.0,87.0
AL,ALABAMA,0101050,Dale County,00389,Dale County High School,010105000389,0,0,0,0,010105000389,High,477.0,33.77,33.77,0.0,26.27,1283843.18,125.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101050,Dale County,00390,George W Long High School,010105000390,0,0,0,0,010105000390,High,405.0,29.79,28.79,1.0,22.29,1148385.55,70.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101080,Daleville City,00394,Daleville High School,010108000394,0,0,0,0,010108000394,High,430.0,31.0,31.0,0.0,26.61,1390187.3,71.0,0.0,-18.0,1.0,5.0,1.0,42.0,48.0
AL,ALABAMA,0101110,Dallas County,00397,Dallas County High School,010111000397,0,0,0,0,010111000397,High,492.0,25.69,24.69,1.0,25.69,1151654.66,228.0,0.0,-18.0,1.0,1.0,0.0,-18.0,2.0
AL,ALABAMA,0101110,Dallas County,00402,Keith MiddleHigh School,010111000402,0,0,0,0,010111000402,High,280.0,18.0,17.0,1.0,15.46,739449.08,68.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101110,Dallas County,00406,Southside High School,010111000406,0,0,0,0,010111000406,High,349.0,23.13,20.13,3.0,18.91,867109.39,79.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101140,DeKalb County,01860,Crossville High School,010114001860,0,0,0,0,010114001860,High,599.0,36.0,36.0,0.0,35.84,1641124.98,161.0,0.0,-18.0,1.0,2.0,1.0,30.0,12.0
AL,ALABAMA,0101170,Decatur City,00426,Austin High School,010117000426,0,0,0,0,010117000426,High,1494.0,96.0,96.0,0.0,81.0,4481426.0,498.0,0.0,-18.0,1.0,13.0,1.0,226.0,219.0
AL,ALABAMA,0101170,Decatur City,00429,Decatur High School,010117000429,0,0,0,0,010117000429,High,1049.0,67.0,67.0,0.0,60.5,3404039.0,93.0,0.0,-18.0,1.0,15.0,1.0,170.0,166.0
AL,ALABAMA,0101200,Demopolis City,00148,Demopolis High School,010120000148,0,0,0,0,010120000148,High,714.0,48.0,44.0,4.0,41.96,3011305.83,345.0,0.0,-18.0,1.0,9.0,1.0,127.0,123.0
AL,ALABAMA,0101230,Dothan City,00445,Dothan High School,010123000445,0,0,0,0,010123000445,High,1184.0,75.38,75.38,0.0,64.65,3486155.07,251.0,0.0,-18.0,1.0,10.0,1.0,48.0,116.0
AL,ALABAMA,0101230,Dothan City,01501,Northview High School,010123001501,0,0,0,0,010123001501,High,1226.0,79.51,79.51,0.0,70.45,3504379.37,335.0,0.0,-18.0,1.0,9.0,1.0,149.0,222.0
AL,ALABAMA,0101260,Elba City,00461,Elba High School,010126000461,0,0,0,0,010126000461,High,295.0,17.5,17.5,0.0,17.5,791825.4,66.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101290,Elmore County,00463,Elmore County High School,010129000463,0,0,0,0,010129000463,High,470.0,25.0,25.0,0.0,25.0,1164260.15,117.0,0.0,-18.0,1.0,7.0,1.0,53.0,57.0
AL,ALABAMA,0101290,Elmore County,00465,Holtville High School,010129000465,0,0,0,0,010129000465,High,445.0,26.0,26.0,0.0,26.0,1152656.87,113.0,0.0,-18.0,1.0,6.0,1.0,44.0,47.0
AL,ALABAMA,0101290,Elmore County,00468,Stanhope Elmore High School,010129000468,0,0,0,0,010129000468,High,1096.0,60.0,59.0,1.0,60.0,2790489.32,246.0,0.0,-18.0,1.0,10.0,1.0,121.0,111.0
AL,ALABAMA,0101290,Elmore County,00471,Wetumpka High School,010129000471,0,0,0,0,010129000471,High,1186.0,62.0,61.0,1.0,62.0,2817239.5,273.0,0.0,-18.0,1.0,13.0,1.0,93.0,167.0
AL,ALABAMA,0101320,Enterprise City,00476,Enterprise High School,010132000476,0,0,0,0,010132000476,High,2340.0,124.0,121.0,3.0,120.32,6226664.38,1006.0,0.0,-18.0,1.0,13.0,1.0,423.0,758.0
AL,ALABAMA,0101350,Escambia County,00484,Escambia County High School,010135000484,0,0,0,0,010135000484,High,415.0,37.0,37.0,0.0,35.0,1643261.51,103.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101350,Escambia County,00487,Flomaton High School,010135000487,0,0,0,0,010135000487,High,496.0,27.7,27.7,0.0,27.7,1340300.89,195.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101350,Escambia County,00492,W S Neal High School,010135000492,0,0,0,0,010135000492,High,368.0,25.1,25.1,0.0,24.1,1154954.43,126.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101380,Etowah County,00498,Glencoe High School,010138000498,0,0,0,0,010138000498,High,335.0,20.0,20.0,0.0,20.0,1034460.05,88.0,0.0,-18.0,1.0,6.0,0.0,-18.0,53.0
AL,ALABAMA,0101380,Etowah County,00505,Sardis High School,010138000505,0,0,0,0,010138000505,High,522.0,34.0,34.0,0.0,29.98,1529320.6,122.0,0.0,-18.0,1.0,5.0,1.0,22.0,29.0
AL,ALABAMA,0101380,Etowah County,00506,Southside High School,010138000506,0,0,0,0,010138000506,High,804.0,48.0,47.0,1.0,48.0,2393151.07,173.0,0.0,-18.0,1.0,7.0,1.0,89.0,87.0
AL,ALABAMA,0101380,Etowah County,00507,West End High School,010138000507,0,0,0,0,010138000507,High,382.0,24.0,24.0,0.0,22.92,1171140.22,54.0,0.0,-18.0,1.0,1.0,1.0,13.0,1.0
AL,ALABAMA,0101380,Etowah County,01662,Hokes Bluff High School,010138001662,0,0,0,0,010138001662,High,402.0,24.0,24.0,0.0,24.0,1286432.13,102.0,0.0,-18.0,1.0,3.0,1.0,43.0,10.0
AL,ALABAMA,0101410,Eufaula City,00511,Eufaula High School,010141000511,0,0,0,0,010141000511,High,733.0,53.35,53.35,0.0,53.35,2542886.46,200.0,0.0,-18.0,1.0,12.0,1.0,104.0,120.0
AL,ALABAMA,0101440,Fairfield City,00516,Fairfield High Preparatory School,010144000516,0,0,0,0,010144000516,High,754.0,35.0,30.0,5.0,35.0,2225527.0,314.0,0.0,-18.0,1.0,4.0,1.0,39.0,43.0
AL,ALABAMA,0101470,Fayette County,00521,Berry High School,010147000521,0,0,0,0,010147000521,High,263.0,17.0,17.0,0.0,16.43,765921.17,32.0,0.0,-18.0,0.0,-9.0,-9.0,-18.0,-18.0
AL,ALABAMA,0101470,Fayette County,01787,Fayette County High School,010147001787,0,0,0,0,010147001787,High,437.0,25.98,25.98,0.0,25.98,1065922.3,137.0,0.0,-18.0,1.0,7.0,1.0,178.0,177.0
AL,ALABAMA,0101530,Florence City,00528,Florence High School,010153000528,0,0,0,0,010153000528,High,1037.0,68.5,68.0,0.5,68.16,3862182.0,625.0,0.0,-18.0,1.0,21.0,1.0,298.0,287.0
